,budget,date,domesticgross,name,worldwidegross
0,"$300,000,000",11/17/2017,"$229,024,295",Justice League,"$655,953,446"
1,"$250,000,000",4/14/2017,"$225,764,765",The Fate of the Furious,"$1,237,466,026"
2,"$230,000,000",5/26/2017,"$172,558,876",Pirates of the Caribbean: Dead Men Tell No Tales,"$790,697,888"
3,"$217,000,000",6/21/2017,"$130,168,683",Transformers: The Last Knight,"$603,968,683"
4,"$200,000,000",5/5/2017,"$389,813,101",Guardians of the Galaxy Vol 2,"$862,889,714"
5,"$195,000,000",6/9/2017,"$80,101,125",The Mummy,"$410,333,326"
6,"$185,000,000",3/10/2017,"$168,052,812",Kong: Skull Island,"$561,137,727"
7,"$185,000,000",10/6/2017,"$92,054,159",Blade Runner 2049,"$259,356,836"
8,"$180,000,000",11/3/2017,"$315,058,289",Thor: Ragnarok,"$850,653,412"
9,"$180,000,000",7/21/2017,"$40,479,370",Valerian and the City of a Thousand Planets,"$215,116,144"
10,"$175,000,000",7/7/2017,"$334,201,140",Spider-Man: Homecoming,"$880,210,429"
11,"$175,000,000",11/22/2017,"$209,726,015",Coco,"$800,126,850"
12,"$175,000,000",5/12/2017,"$39,175,066",King Arthur: Legend of the Sword,"$140,012,608"
13,"$160,000,000",3/17/2017,"$504,014,165",Beauty and the Beast,"$1,262,967,006"
14,"$152,000,000",7/14/2017,"$146,880,162",War for the Planet of the Apes,"$490,280,162"
15,"$150,000,000",6/2/2017,"$412,563,408",Wonder Woman,"$817,012,815"
16,"$150,000,000",7/21/2017,"$190,068,280",Dunkirk,"$500,516,189"
17,"$150,000,000",2/17/2017,"$45,157,105",The Great Wall,"$334,550,106"
18,"$127,000,000",3/3/2017,"$226,277,068",Logan,"$615,577,068"
19,"$125,000,000",3/31/2017,"$175,003,033",The Boss Baby,"$512,017,946"
20,"$125,000,000",1/13/2017,"$33,370,166",Monster Trucks,"$61,681,268"
21,"$120,000,000",3/24/2017,"$85,364,450",Power Rangers,"$142,364,450"
22,"$111,000,000",12/15/2017,"$84,410,380",Ferdinand,"$290,772,436"
23,"$110,000,000",3/31/2017,"$40,563,557",Ghost in the Shell,"$167,918,847"
24,"$104,000,000",9/22/2017,"$100,234,838",Kingsman: The Golden Circle,"$408,834,838"
25,"$100,000,000",10/20/2017,"$33,700,160",Geostorm,"$220,800,160"
26,"$97,000,000",5/19/2017,"$74,262,031",Alien: Covenant,"$238,862,031"
27,"$90,000,000",12/20/2017,"$404,508,916",Jumanji: Welcome to the Jungle,"$962,091,730"
28,"$90,000,000",4/21/2017,"$8,224,288",The Promise,"$10,524,093"
29,"$90,000,000",12/22/2017,$0,Bright,$0
30,"$85,000,000",1/20/2017,"$44,898,413",xXx: Return of Xander Cage,"$345,114,933"
31,"$84,000,000",12/20/2017,"$174,026,442",The Greatest Showman,"$428,123,608"
32,"$80,000,000",2/10/2017,"$175,750,384",The Lego Batman Movie,"$310,940,997"
33,"$75,000,000",6/30/2017,"$264,624,300",Despicable Me 3,"$1,034,542,646"
34,"$70,000,000",11/10/2017,"$104,029,443",Daddyâs Home 2,"$176,154,137"
35,"$70,000,000",9/22/2017,"$59,281,555",The Lego Ninjago Movie,"$122,780,244"
