,budget,date,domesticgross,name,worldwidegross
0,"$250,000,000",5/6/2016,"$408,084,349",Captain America: Civil War,"$1,153,304,495"
1,"$250,000,000",3/25/2016,"$330,360,194",Batman v Superman: Dawn of Justice,"$868,160,194"
2,"$200,000,000",12/16/2016,"$532,177,324",Rogue One: A Star Wars Story,"$1,050,988,488"
3,"$200,000,000",6/17/2016,"$486,295,561",Finding Dory,"$1,022,617,376"
4,"$185,000,000",7/22/2016,"$158,848,340",Star Trek Beyond,"$336,398,312"
5,"$180,000,000",11/18/2016,"$234,037,575",Fantastic Beasts and Where to Find Them,"$803,798,342"
6,"$180,000,000",7/1/2016,"$126,643,061",The Legend of Tarzan,"$349,143,061"
7,"$178,000,000",5/27/2016,"$155,442,489",X-Men: Apocalypse,"$542,742,489"
8,"$175,000,000",4/15/2016,"$364,001,123",The Jungle Book,"$963,841,800"
9,"$175,000,000",8/5/2016,"$325,100,054",Suicide Squad,"$746,100,054"
10,"$170,000,000",5/27/2016,"$77,042,381",Alice Through the Looking Glass,"$277,442,381"
11,"$165,000,000",11/4/2016,"$232,641,920",Doctor Strange,"$677,541,920"
12,"$165,000,000",6/24/2016,"$103,144,286",Independence Day: Resurgence,"$387,644,286"
13,"$160,000,000",6/10/2016,"$47,225,655",Warcraft,"$433,125,655"
14,"$156,000,000",9/30/2016,"$61,433,527",Deepwater Horizon,"$122,931,214"
15,"$150,000,000",3/4/2016,"$341,268,248",Zootopia,"$1,019,888,414"
16,"$150,000,000",11/23/2016,"$248,757,044",Moana,"$639,480,406"
17,"$144,000,000",7/15/2016,"$128,350,574",Ghostbusters,"$229,034,050"
18,"$140,000,000",1/29/2016,"$143,528,619",Kung Fu Panda 3,"$518,614,383"
19,"$140,000,000",7/1/2016,"$55,483,770",The BFG,"$199,905,224"
20,"$140,000,000",2/26/2016,"$31,153,464",Gods of Egypt,"$133,553,464"
21,"$135,000,000",6/3/2016,"$82,051,601",Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848"
22,"$125,000,000",11/4/2016,"$153,707,064",Trolls,"$344,780,046"
23,"$125,000,000",12/21/2016,"$54,647,948",Assassinâs Creed,"$240,497,948"
24,"$120,000,000",7/29/2016,"$162,192,920",Jason Bourne,"$416,197,059"
25,"$115,000,000",4/22/2016,"$48,003,015",The Huntsman: Winterâs War,"$165,149,302"
26,"$110,000,000",12/21/2016,"$100,014,699",Passengers,"$302,212,434"
